,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
122,Curl,Barbell,No,Basic,Isolated,Pull,Grasp bar with shoulder width underhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Biceps Brachii,","Brachialis, Brachioradialis, ","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",,,Upper Arms,2,"Brachialis, Brachioradialis",
123,Alternating Curl,Cable,No,Basic or Auxiliary,Isolated,Pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.","Pull one stirrup up forward and upward toward shoulder while keeping elbow stationary. Return until arm is fully extended. Repeat on other arm, alternating between sides.","Biceps Brachii,","Brachialis, Brachioradialis, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, Coracobrachialis, ",,,Upper Arms,2,"Brachialis, Brachioradialis",
124,Curl,Cable,No,Basic,Isolated,Pull,Grasp low pulley cable bar with shoulder width underhand grip. Stand close to pulley.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Biceps Brachii,","Brachialis, Brachioradialis, ","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",,,Upper Arms,2,"Brachialis, Brachioradialis",
125,Curl:  with stirrups,Cable,Yes,Basic or Auxiliary,Isolated,Pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.",Pull stirrups forward and upward toward shoulders while keeping elbows stationary. Return until arms are fully extended. Repeat.,"Biceps Brachii,","Brachialis, Brachioradialis, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, Coracobrachialis, ",,,Upper Arms,2,"Brachialis, Brachioradialis",124.0
126,Curl:  One Arm Curl,Cable,Yes,Auxiliary,Isolated,Pull,Face low pulley and grasp stirrup cable attachment to one side with underhand grip.,"With elbow to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat. Continue with opposite arm.","Biceps Brachii,","Brachialis, Brachioradialis, ","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",,,Upper Arms,2,"Brachialis, Brachioradialis",124.0
127,Curl,Dumbbell,No,Basic,Isolated,Pull,"Position two dumbbells to sides, palms facing in, arms straight.","With elbows to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.","Biceps Brachii,","Brachialis, Brachioradialis, ","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",,,Upper Arms,2,"Brachialis, Brachioradialis",
128,Incline Curl,Dumbbell,No,Basic or Auxiliary,Isolated,Pull,"Sit back on 45-60 degree incline bench. With arms hanging down straight, position two dumbbells with palms facing inward.","With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.","Biceps Brachii,","Brachialis, Brachioradialis, ","Deltoid, Anterior, Coracobrachialis, Wrist Flexors, ",,,Upper Arms,3,"Brachialis, Brachioradialis",
129,Curl,Lever (selectorized),No,Basic or Auxiliary,Isolated,Pull,Sit on seat and grasp handles with underhand grip.,Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,"Biceps Brachii,","Brachialis, Brachioradialis, ","Wrist Flexors, ",,,Upper Arms,2,"Brachialis, Brachioradialis",
130,Inverted Biceps Row,Body Weight,No,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with shoulder width underhand grip.,"Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.","Biceps Brachii,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, ","Rectus Abdominis, Obliques, ","Triceps, Long Head, ",Upper Arms,3,"Latissimus Dorsi, Brachialis",
131,Preacher Curl,Barbell,No,Auxiliary,Isolated,Pull,Sit on preacher bench placing back of arms on pad. Grasp curl bar with shoulder width underhand grip.,Raise bar until forearms are vertical. Lower barbell until arms are fully extended. Repeat.,"Brachialis,","Biceps Brachii, Brachioradialis, ","Wrist Flexors, ",,,Upper Arms,3,"Brachialis, Brachioradialis",
