,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
,Stiff-leg Deadlift,Barbell,Yes,Basic or Auxiliary,Compound,Pull,"Stand with shoulder width or narrower stance on 5"" to 8"" (13-20 cm) platform with feet flat beneath bar. Bend over and grasp barbell with shoulder width or slightly wider overhand or mixed grip.","With knees bent, lift bar by extending at hips until standing upright. Pull shoulders back at top of lift if rounded. Extend knees at top if desired. Lower bar to top of feet by bending hips. Bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",336
338,Hip Thrust,Barbell,No,Basic or Auxiliary,Compound,Pull,"Stand with shoulder width or narrower stance on 5"" to 8"" (13-20 cm) platform with feet flat beneath bar. Bend over and grasp barbell with shoulder width or slightly wider overhand or mixed grip.","With knees bent, lift bar by extending at hips until standing upright. Pull shoulders back at top of lift if rounded. Extend knees at top if desired. Lower bar to top of feet by bending hips. Bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,3,"Gluteus Maximus, Hamstrings",
339,Lunge,Barbell,No,Auxiliary,Compound,Push,"Cleanbar from floor or dismount bar from rack. From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides.","Lunge forward with first leg. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
340,Lunge:  Rear Lunge,Barbell,Yes,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides. Dismount bar from rack.",Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",339
348,Step-up,Barbell,No,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
349,Glute Kickback,Cable,No,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,2,"Gluteus Maximus, Hamstrings",
350,Rear Lunge,Cable,No,Auxiliary,Compound,Push,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
356,Step-up,Cable,No,Basic or Auxiliary,Compound,Push,Stand behind elevated platform and low and close pulley cables to sides. Grasp stirrups at each side of platform. Stand upright with arms straight down at sides.,Place foot of first leg on elevated platform. Stand on elevated platform by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to lower position. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
357,Stiff-leg Deadlift,Cable,No,Basic or Auxiliary,Compound,Pull,Stand on elevated platform between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,"Bow forward by bending hips. Bend knees slightly during descent and keep waist straight, flexing low back at bottom. With knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",
,Stiff-leg Deadlift,Dumbbell,Yes,Basic or Auxiliary,Compound,Pull,"Stand with shoulder width or narrower stance on 5"" to 8"" (13-20 cm) platform with feet flat beneath dumbbells. Bend over and grasp dumbbells with shoulder width or slightly wider overhand or mixed grip.","With knees bent, lift dumbbells by extending at hips until standing upright. Pull shoulders back at top of lift if rounded. Extend knees at top if desired. Lower dumbbells to top of feet by bending hips. Bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",336
