,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
420,Hip Abduction,Cable,No,Auxiliary,Isolated,Push,Stand in front of low pulley facing to one side. Attach cable cuff to far ankle. Step out away from stack and grasp ballet bar. Stand on near foot and allow far leg to cross in front.,Move leg to opposite side of low pulley by abduction hip. Return and repeat. Turn around and continue with opposite leg.,"Hip Abductors,","Gluteus Medius, Gluteus Minimus, Tensor Fasciae Latae, ","Hip Abductors (opposite), ",,,Hips,2,Gluteus Maximus,
421,Seated Hip Internal Rotation,Cable,No,Auxiliary,Isolated,Pull,"Sit on bench or chair with low pulley to side. Attach cable ankle cuff to ankle furthest pulley. Place foot of stationary leg just forward of foot attached to cable. Grasp bench and handle bar on cable column if available. Position thighs of both legs side by side, perpendicular to cable. Raise foot attached to cable slightly off of floor.","Keeping knee of attached leg bent approximately 90°, pull cable attachment away from pulley by rotating hip as far as possible. Return foot behind stationary foot and toward pulley. Repeat. Place ankle cuff on opposite leg and continue facing opposite direction.","Hip Abductors,","Gluteus Medius, Gluteus Minimus, Tensor Fasciae Latae, Piriformis, ","Gluteus Medius, Gluteus Minimus, Tensor Fasciae Latae, Gluteus Maximus (opposite leg only), ",,,Hips,1,Gluteus Maximus,
422,Lying Hip Abduction,Dumbbell,No,Auxiliary,Isolated,Push,"Lie on side on floor or mat. Extend top leg down straight and position lower leg back underneath. Grasping dumbbell with hand of arm furthest from floor, position dumbbell as low as possible on top side of thigh.","Raise weighted leg up off ground as high as possible, keeping dumbbell positioned on side of upper thigh. Return to leg to floor and repeat. Repeat and continue with opposite leg.","Hip Abductors,","Tensor Fasciae Latae, Gluteus Medius, Gluteus Minimus, ","Hip Abductors (opposite), ",,,Hips,2,Gluteus Maximus,
423,Seated Hip Abduction,Lever (plate loaded),No,Auxiliary,Isolated,Push,Stand near side of apparatus. Place one leg onto far padded lever and sit on seat. Lift other leg onto other padded lever. Lean back onto back pad. Grasp handles to sides.,Move legs away from one another as far as possible. Return and repeat.,"Hip Abductors,","Gluteus Medius, Gluteus Minimus, Gluteus Maximus, Piriformis, Obturator externus, ","No significant stabilizers, ",,,Hips,2,Gluteus Maximus,
424,Seated Hip Abduction,Lever (selectorized),No,Auxiliary,Isolated,Push,"Sit on machine with legs inside of side pads. If available, place heels on foot bars. Release and pull lever brace to position legs together. Engage lever into locked position. Lie back and grasp bars to sides.",Move legs apart as far as possible. Return and repeat.,"Hip Abductors,","Gluteus Medius, Gluteus Minimus, Gluteus Maximus, Piriformis, Obturator externus, ","No significant stabilizers, ",,,Hips,2,Gluteus Maximus,
425,Standing Hip Abduction,Lever (selectorized),No,Auxiliary,Isolated,Push,Adjust platform so lever fulcrum is same height as hip articulation. Adjust roller in low position. Face machine and grasp bars to sides. Place outside of thigh against roller pad and shift body weight to opposite leg.,Raise leg against roller pad to side by abduction hip. Return and repeat. Reposition roller pad lever and continue with opposite leg.,"Hip Abductors,","Tensor Fasciae Latae, Gluteus Medius, Gluteus Minimus, ","Hip Abductors (opposite), ",,,Hips,2,Gluteus Maximus,
426,Lying Hip Abduction,Weighted,No,Auxiliary,Isolated,Push,"Sit on floor or mat with bar, plates loaded on one side. Sit on hip with knees bent and place bar on outside of shoe with weight plate(s) positioned beyond foot. Holding on to opposite end of bar, lie on side with weighted leg extended out straight and lower leg bent underneath.",Raise weighted leg up off ground as high as possible. Balance bar on side of foot while holding onto closest side of bar. Return to floor and repeat. Continue with opposite leg.,"Hip Abductors,","Tensor Fasciae Latae, Gluteus Medius, Gluteus Minimus, ","Hip Abductors (opposite), ",,,Hips,2,Gluteus Maximus,
427,Twist,Cable (pull side),No,Auxiliary,Isolated,Pull,"Grasp stirrup from shoulder height cable pulley with both hands. Step and turn lower body away from pulley until near arm is horizontal and straight. Position feet wide apart facing away from pulley, furthest foot further away from pulley. Raise heel of nearest foot off floor. Bend knees of both legs slightly. Place far hand over other hand or interlace fingers.","Keeping arms straight, rotate torso to opposite side until cable makes contact with shoulder. Return to original position and repeat. Continue with opposite side.",Hip Flexors,"Tensor fasciae latae, Gluteus medius, Gluteus minimus, anterior fibers, Adductors, Hip, Psoas major, Quadratus lumborum, Iliocastalis lumborum, Iliocastalis thoracis, ","Rectus Abdominis, Erector Spinae, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Trapezius, Middle, Trapezius, Lower, Rhomboids, Deltoid, Lateral, Deltoid, Posterior, Triceps, Coracobrachialis, ",,,Hips,2,"Obliques, Rectus Abdominis",
428,Hip Abduction,Suspended,No,Auxiliary,Isolated,Push,"Sit on floor facing suspension trainer loops in low position. Grasp bottom of loops, then lay supine. Raise legs and place heels in loops with soles contacting handles. Extend legs out and place arms on floor off to sides. Straighten low back, knees, and hips, raising back and hips off of floor.",Pull legs apart as far as possible. Return by placing legs together and repeat.,"Hip Abductors,","Tensor Fasciae Latae, Gluteus Medius, Gluteus Minimus, ","Gluteus Maximus, Hamstrings, Erector Spinae, ",,,Hips,2,,
429,Side Bend,Suspended,No,Auxiliary,Isolated,Pull,"Grasp handles, step away, and face body to one side of suspension trainer anchor. Hold handles above head with arms bent. Stand far enough away to make suspension trainer straps taut. Step in just enough to achieve desired lean of body, while keeping tension on suspension trainer straps.",Lower hips away from direction of suspension trainer anchor by laterally flexing spine. Return to original upright position and repeat. Reposition body facing opposite direction. Continue with other side.,Hip Flexors,"Quadratus lumborum, Psoas major, Iliocastalis lumborum, Iliocastalis thoracis, Gluteus Medius, Gluteus Minimus, Tensor Fasciae Latae, Adductors, Hip, Pectineus, Gracilis, Gluteus Maximus, Lower Fibers, ","Deltoid, Anterior, Deltoid, Lateral, Supraspinatus, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Brachialis, Brachioradialis, Biceps Brachii, Coracobrachialis, Wrist Flexors, Latissimus Dorsi, Teres Major, Rhomboids, Levator Scapulae, Triceps, Long Head, ",,,Hips,2,"Obliques, Quadratus Lumborum",
430,Assisted Wheel Rollout,Cable,No,Auxiliary,Isolated,Pull,"With ab wheel attached to cable via double looped strap attachment, straddle cable facing away from low pulley. Kneel with both knees on mat. Grasp handles on wheel to each side with overhand grip. Position wheel near front of knees and lean over wheel with arms extended downward, supporting upper body.","With arms straight, roll wheel out as far as possible. Lower body gently to floor extending arms forward. Raise body back up by flexing hips and pulling arms back to original position. Return until hips are extended. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Triceps Brachii, Pectoralis Major, Clavicular, Coracobrachialis, Wrist Flexors, ",,"Erector Spinae, ","Rectus Femoris, ",Hips,3,"Rectus Abdominis, Anterior Deltoid",
431,Lying Leg Raise,Cable,No,Auxiliary,Isolated,Pull,"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.",Raise legs by flexing hips and knees until thighs are just past perpendicular to torso or before hips raise off of bench. Return until hips and knees are extended. Repeat.,Hip Flexors,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,2,"Rectus Abdominis, Hip Flexors",
432,Lying Leg Raise:  on bench,Cable,Yes,Auxiliary,Isolated,Pull,Attach cable ankle straps to both ankles. Sit on end of bench facing pulley at bench height. Attach cable to both ankle straps. Lie supine on bench until cable is taut. Grasp sides of bench behind head.,Raise legs by flexing hips and knees until thighs are past perpendicular to torso or before hips raise off of bench. Return until hips and knees are extended. Repeat.,Hip Flexors,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,2,"Rectus Abdominis, Hip Flexors",431.0
433,Lying Leg Raise:  Straight Leg,Cable,Yes,Auxiliary,Isolated,Pull,"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor, mat, or bench back far enough so cable is taut. Grasp support behind head.","With knees straight, raise legs by flexing hips until thighs are just past perpendicular to torso or before hips raise off of mat. Return until hips are extended. Repeat.",Hip Flexors,"Tensor Fasciae Latae, Sartorius, Pectineus, Rectus Femoris, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,,Hips,3,"Rectus Abdominis, Hip Flexors",431.0
