,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
471,Lunge,Barbell,No,Auxiliary,Compound,Push,"Cleanbar from floor or dismount bar from rack. From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides.","Lunge forward with first leg. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.","Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Thighs,3,"Quadriceps, Gluteus Maximus",
472,Lunge:  Rear Lunge,Barbell,Yes,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides. Dismount bar from rack.",Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Thighs,3,"Quadriceps, Gluteus Maximus",471
473,Single Leg Split Squat,Barbell,No,Auxiliary,Compound,Push,Stand facing away from bench. Position bar on back of shoulders and grasp barbell to sides. Extend leg back and place top of foot on bench.,Squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",,,Thighs,4,"Quadriceps, Gluteus Maximus",
475,Single Leg Split Squat:  Single Leg Squat,Barbell,Yes,Auxiliary,Compound,Push,Stand with arms extended out in front holding barbell. Balance on one leg with opposite leg extended forward off of ground.,Squat down as far as possible while keeping leg elevated off of floor. Keep   supporting knee pointed same direction as foot supporting. Raise body back up to original position until knee and hip of supporting leg is straight. Return and repeat. Continue with opposite leg.,"Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, Erector Spinae (see notes), ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, Rectus Abdominis, Iliopsoas, Tensor Fasciae Latae, Pectineus, Sartorius, Quadriceps, Deltoid, Anterior, Pectoralis Major, Clavicular, Deltoid, Lateral, Trapezius, Upper, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Levator Scapulae, Wrist Extensors, ",,,Thighs,5,"Quadriceps, Gluteus Maximus",473
476,Squat,Barbell,No,Basic,Compound,Push,"From rack with barbell at upper chest height, position bar high on back of shoulders and grasp barbell to sides. Dismount bar from rack and stand with shoulder width stance.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Thighs,3,"Quadriceps, Gluteus Maximus",
477,Squat:  Front Squat,Barbell,Yes,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar in front of shoulders. Cross arms and place hands on top of barbell with upper arms parallel to floor. Dismount bar from rack.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, Deltoid, Anterior, Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Trapezius, Lower, Serratus Anterior, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Thighs,4,"Quadriceps, Gluteus Maximus",476
479,Step-up,Barbell,No,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,"Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg, alternating first steps between legs.","Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, Gastrocnemius (second leg), ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (first leg), ",Thighs,3,"Quadriceps, Gluteus Maximus",
480,Rear Lunge,Cable,No,Auxiliary,Compound,Push,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Thighs,3,"Quadriceps, Gluteus Maximus",
483,Step Down,Cable,No,Auxiliary,Compound,Push,Grasp cable stirrup(s) with both hands. Place one foot on elevated platform positioned near or between low pulleys.,Raise body by extending knee and hip on platform until leg is straight. Return until foot of lower leg makes contact with lower platform or floor and repeat. Continue with opposite leg.,"Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Thighs,3,"Quadriceps, Gluteus Maximus",
484,Step-up,Cable,No,Basic or Auxiliary,Compound,Push,Stand behind elevated platform and low and close pulley cables to sides. Grasp stirrups at each side of platform. Stand upright with arms straight down at sides.,"Place foot of first leg on elevated platform. Stand on elevated platform by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to lower position. Repeat first step with opposite leg, alternating first steps between legs.","Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, Gastrocnemius (second leg), ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, ","Hamstrings, Gastrocnemius (first leg), ",Thighs,3,"Quadriceps, Gluteus Maximus",
485,Lunge,Dumbbell,No,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,"Lunge forward with first leg. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.","Quadriceps,","Gluteus Maximus, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Thighs,3,"Quadriceps, Gluteus Maximus",
