,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
,Shrug,Body Weight,No,Basic,Isolated,Pull,"Find one or two objects of a manageable weight, easy to hold. Stand holding item(s) to sides.",Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
239,Shrug,Barbell,No,Basic,Isolated,Pull,Stand holding barbell with overhand or mixed grip; shoulder width or slightly wider.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
240,Trap Bar Shrug,Barbell,No,Basic,Isolated,Pull,Step into trap barbell and stand holding handles of trap bar to sides.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,2,Levator Scapulae,
241,Shrug,Cable,No,Basic or Auxiliary,Isolated,Pull,Stand facing low pulley and grasp cable bar with shoulder width or slightly wider overhand grip. Stand close to pulley.,"With arms straight, elevate shoulders as high as possible. Lower and repeat.","Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
242,Shrug with Stirrups,Cable,No,Basic or Auxiliary,Isolated,Pull,Stand between two low pulleys and grasp stirrups to each side. Stand upright with arms straight down to each side.,"With arms straight, elevate shoulders as high as possible. Lower and repeat.","Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
243,Shrug,Dumbbell,No,Basic,Isolated,Pull,Stand holding dumbbells to sides.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
244,Seated Shrug,Lever (plate loaded),No,Basic or Auxiliary,Isolated,Pull,Sit on bench and grasp lower handles to each side. Sit upright.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","No significant stabilizers, ",,,Back,1,Levator Scapulae,
245,Shrug,Lever (plate loaded),No,Basic,Isolated,Pull,Stand between lever handles to sides. Squat down with feet flat on floor and grasp upper handles to sides. Stand upright by extending hips and knees to full extension.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
246,Shrug,Lever (selectorized),No,Basic,Isolated,Pull,Stand holding lever bar with shoulder width overhand or mixed grip.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
247,Gripless Shrug,Sled,No,Auxiliary,Isolated,Pull,Stand with shoulders under padded bar.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
248,Shrug,Smith,No,Basic,Isolated,Pull,Stand grasping smith bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.,Elevate shoulders as high as possible. Lower and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ","Erector Spinae, ",,,Back,1,Levator Scapulae,
250,Inverted Shrug,Suspended,No,Basic or Auxiliary,Isolated,Pull,"Grasp gymnastics rings, one in each hand. Sit on mat between parallel bars. Kick legs up inverting and balancing body upside down.",Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.,"Upper Trapezius, Levator Scapulae, Middle Trapezius,","Trapezius, Middle, Levator Scapulae, ",,,,Back,2,Levator Scapulae,
