,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
166,Bent-over Row,Barbell,No,Basic,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.,Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
167,Bent-over Row:  Underhand,Barbell,Yes,Basic or Auxiliary,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Trapezius, Middle, Trapezius, Lower, Rhomboids, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",166.0
168,One Arm Bent-over Row,Cable,No,Auxiliary,Compound,Pull,"Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.","Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Obliques, Hamstrings, Gluteus Maximus, Triceps (Supporting Arm), ",,"Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
169,One Arm Straight Back Seated High Row,Cable,No,Basic or Auxiliary,Compound,Pull,Sit on seat or bench. Bend forward and grasp cable stirrup with one hand. Position torso upright allowing shoulder to be pulled forward under weight on cable.,"Pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Obliques, Quadratus Lumborum, ","Rectus Abdominis, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
170,Seated Row,Cable,No,Basic,Compound,Pull,Sit slightly forward on seat or bench in order to   grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend.,"Pull cable attachment to waist while straightening lower back. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Hamstrings, Gluteus Maximus, Adductor Magnus, ",,"Biceps Brachii, Triceps, Long Head, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",
171,Seated Row:  Straight Back,Cable,Yes,Basic,Compound,Pull,Sit slightly forward on bench with feet on foot bar or vertical platform. Grasp close grip cable attachment. Straighten torso   upright and slide hips back so knees are slightly bent.,"Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",170.0
172,Seated Wide Grip Row,Cable,No,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on platform in order to grasp cable attachment. With awider than shoulder width grip, slide hips back positioning knees with slight bend.","Pull cable attachment to waist while pulling torso upright.   Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, Erector Spinae, ","Hamstrings, Gluteus Maximus, Adductor Magnus, ",,"Biceps Brachii, Triceps, Long Head, ",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",
173,Seated Wide Grip Row:  Straight Back,Cable,Yes,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With wider than shoulder width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",172.0
174,Bent-over Row,Dumbbell,No,Basic,Compound,Pull,Kneel over side of bench by placing knee and hand of supporting arm on bench. Position foot of opposite leg slightly back to side. Grasp dumbbell from floor.,Pull dumbbell to up to side until it makes contact with ribs or until upper arm is just beyond horizontal. Return until arm is extended and shoulder is stretched downward. Repeat and continue with opposite arm.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Triceps (supporting arm), ",,"Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
175,Lying Row,Dumbbell,No,Basic,Compound,Pull,Lie chest down on elevated bench. Grasp dumbbells below.,Pull dumbbells to sides until upper arm is just beyond horizontal or height of back. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
176,Incline Row,Lever (plate loaded),No,Basic,Compound,Pull,Lie chest on inclined platform and grasp lever handles with overhand grip.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
177,Incline Row:  Close Grip,Lever (plate loaded),Yes,Basic,Compound,Pull,Lie chest on inclined platform and grasp lever close grip handles.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,3,"Biceps Brachii, Brachialis, Trapezius",176.0
178,Seated Rows,Lever (plate loaded),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
179,Seated Rows:  Narrow Grip,Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Brachialis, Trapezius",178.0
180,"Seated Rows:  Wide Grip

Low Bar

",Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",178.0
181,Seated Rows (Others),Lever (plate loaded),No,Auxiliary,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
182,Seated Rows (Others):  Seated Low Row,Lever (plate loaded),Yes,Auxiliary,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",181.0
183,Seated Rows (Others):  Seated High Row,Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",181.0
185,T-bar Row:  Close grip,Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",,,Back,3,"Biceps Brachii, Brachialis, Trapezius",184.0
186,Seated Row,Lever (selectorized),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Push foot lever if available. Grasp narrower parallel grip handles.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
187,Seated Row:  Wide Grip,Lever (selectorized),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp outer lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",186.0
188,Seated Row (no chest pad),Lever (selectorized),No,Basic,Compound,Pull,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Hamstrings, Gluteus Maximus, Adductor Magnus, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
189,Seated Row (no chest pad):  Straight Back,Lever (selectorized),Yes,Basic,Compound,Pull,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",188.0
190,Underhand Seated Row,Lever (selectorized),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Brachialis, Trapezius",
191,Bent-over Row,Smith,No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
192,Inverted Row,Weighted,No,Basic or Auxiliary,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Gluteus Maximus, Hamstrings, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
193,Inverted Row,Body Weight,No,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
194,Inverted Row:  Feet Elevated,Body Weight,Yes,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,4,"Biceps Brachii, Trapezius, Rhomboids",193.0
